Strategy,Protocol,ROI,Allocation ($),Weight (%)
SOL/WETH (ETH),uniswap-v3,52.00598,1789628.36,17.90
WETH/USDC (ARB),uniswap-v3,31.83263,1690596.16,16.91
DAI (ARB),hop-protocol,2.64392,1591862.14,15.92
SOL/WETH (SOL),orca,32.70644,1500000.00,15.00
WETH/USDC (BASE),uniswap-v3,58.16942,912987.23,9.13
PXETH/STETH (ETH),convex,7.38214,778894.65,7.79
RSETH/WETH (ETH),aura,10.06988,629243.21,6.29
WETH/USDT (ETH),uniswap-v3,38.06301,606788.25,6.07
WETH/USDT (ARB),camelot,49.18477,261942.32,2.62
USDC/WETH (ARB),pancakeswap,38.01768,238057.68,2.38
